student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score,ai_feedback,predicted_score
100019,25,Male,Arts,3.9,3.8,3.1,No,53.1,5.4,Good,6,PhD,Low,7.9,No,3.7,7,2.4,No,3,11.0,Quiet Room,Yes,Medium,1,9,6,Kinesthetic,3.2,92,Improve sleep hygiene. Reduce social media usage. Too much time on Netflix. Improve attendance.,91.15
100020,26,Other,Biology,3.9,1.3,1.0,No,77.6,6.4,Fair,7,High School,Low,8.1,No,2.65,6,5.0,No,1,7.5,Dorm,No,High,5,4,10,Visual,3.4,60,Work on motivation. Manage exam anxiety.,86.66
100021,22,Other,Psychology,2.0,1.0,1.7,Yes,91.4,5.2,Good,0,Master,Medium,6.4,No,3.33,4,4.9,No,5,6.5,Cafe,No,Medium,1,6,9,Kinesthetic,3.7,82,Improve sleep hygiene. Manage exam anxiety.,85.17
100022,24,Other,Psychology,5.8,3.4,1.6,Yes,95.2,7.8,Good,7,PhD,Medium,7.3,No,4.0,8,6.8,No,1,11.1,Quiet Room,No,Low,7,10,5,Visual,6.1,100,Reduce social media usage.,96.76
100023,23,Male,Computer Science,3.279126215564136,3.8,3.3,No,68.2,6.5,Good,1,High School,Medium,9.3,No,4.0,5,6.1,No,1,10.9,Quiet Room,Yes,Medium,4,2,10,Visual,8.0,100,Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,84.13
100024,16,Other,Psychology,6.1,1.3,1.5,Yes,86.7,5.2,Poor,1,Bachelor,High,1.7999999999999998,No,3.27,4,9.5,Yes,5,10.1,Co-Learning Group,Yes,Low,10,1,10,Kinesthetic,9.4,80,Improve sleep hygiene. Work on motivation. Manage exam anxiety.,86.42
100025,19,Male,Biology,4.4,2.1,1.5,Yes,40.8,7.7,Fair,5,Master,High,7.4,No,3.76,4,6.6,No,5,9.0,Cafe,Yes,Low,7,6,9,Auditory,6.7,89,Improve attendance. Manage exam anxiety.,90.28
100026,24,Other,Business,6.2,0.4,3.5,No,74.2,4.0,Good,7,Bachelor,Medium,10.0,No,4.0,8,3.8,No,2,10.6,Library,No,Low,8,6,9,Reading,2.6,92,Improve sleep hygiene. Too much time on Netflix. Manage exam anxiety.,90.17
100027,20,Other,Arts,3.6,3.8,2.8,Yes,66.9,7.8,Poor,7,Bachelor,Low,8.7,Yes,3.75,5,7.1,No,4,11.5,Co-Learning Group,Yes,Low,7,4,10,Reading,3.8,88,Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,87.14
100028,21,Female,Arts,4.0,1.0,0.5,No,51.5,7.7,Good,2,Bachelor,Medium,4.7,No,3.68,6,5.3,No,2,6.6,Quiet Room,No,High,10,9,6,Auditory,6.4,95,Improve attendance.,93.12
100029,18,Female,Computer Science,3.837869655105928,3.8,0.4,No,68.2,5.8,Fair,4,Some College,High,4.5,Yes,4.0,3,3.9,No,4,8.1,Quiet Room,Yes,Low,5,8,7,Kinesthetic,2.0,100,Improve sleep hygiene. Reduce social media usage. Improve attendance.,90.21
100030,26,Other,Computer Science,7.606317651242962,4.0,0.9,Yes,94.5,6.8,Fair,7,PhD,Low,5.1,No,4.0,3,7.8,No,1,13.6,Co-Learning Group,Yes,Medium,5,10,5,Visual,6.6,100,Reduce social media usage.,98.54
100031,26,Male,Business,4.1,2.3,2.4,Yes,57.3,6.8,Fair,3,Master,High,5.2,Yes,3.73,2,4.3,No,4,9.4,Co-Learning Group,Yes,Low,4,5,10,Auditory,8.1,93,Too much time on Netflix. Improve attendance. Manage exam anxiety.,88.14
100032,19,Other,Psychology,4.7,4.1,3.7,Yes,81.3,7.1,Good,7,Bachelor,Low,6.6,Yes,4.0,5,4.3,No,5,13.4,Co-Learning Group,Yes,High,9,8,7,Visual,4.9,94,Reduce social media usage. Too much time on Netflix.,92.42
100033,21,Other,Business,5.1,3.8,0.7,Yes,95.0,5.3,Fair,7,PhD,High,5.4,Yes,3.28,1,6.9,No,0,10.6,Cafe,Yes,Medium,8,2,10,Reading,5.2,76,Improve sleep hygiene. Reduce social media usage. Work on motivation. Manage exam anxiety.,85.76
100034,18,Female,Engineering,5.3,0.6,3.1,No,79.5,7.5,Good,0,Master,Medium,6.7,No,4.0,8,3.9,No,1,10.7,Cafe,Yes,Low,4,9,6,Kinesthetic,4.3,100,Too much time on Netflix.,94.81
100035,20,Other,Psychology,6.7,1.2,0.6,No,45.6,6.3,Good,6,High School,Low,7.8,No,3.59,5,5.1,No,3,9.6,Dorm,Yes,Medium,2,3,10,Reading,5.5,89,Improve attendance. Work on motivation. Manage exam anxiety.,89.65
100036,23,Male,Engineering,3.4,2.1,3.7,No,57.0,6.4,Fair,0,PhD,Low,8.8,Yes,3.08,3,5.9,No,4,10.2,Cafe,Yes,High,8,3,10,Reading,5.0,86,Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,85.09
100037,22,Female,Business,7.2,3.5,3.2,Yes,69.7,7.9,Poor,2,PhD,Medium,4.5,No,4.0,4,3.3,No,3,14.7,Cafe,Yes,High,6,2,10,Visual,8.9,100,Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,90.63
100038,16,Other,Psychology,2.4,3.2,3.4,Yes,97.2,9.4,Good,6,Master,Medium,9.8,Yes,4.0,7,2.4,No,3,10.7,Dorm,No,High,1,10,5,Auditory,1.6,100,Reduce social media usage. Too much time on Netflix.,93.08
100039,17,Other,Arts,7.4,1.5,1.5,No,74.0,7.4,Good,6,Some College,Low,3.8,Yes,4.0,2,7.9,No,4,10.7,Co-Learning Group,No,Low,2,10,5,Auditory,8.8,100,Keep up the good work!,98.83
100040,18,Male,Engineering,6.4,0.8,1.8,No,78.3,8.9,Fair,4,Bachelor,Medium,5.0,No,3.36,5,8.4,No,4,9.7,Cafe,Yes,Medium,5,4,10,Visual,10.0,80,Work on motivation. Manage exam anxiety.,92.11
100041,21,Other,Business,1.2,3.7,0.2,Yes,90.0,6.8,Good,7,Some College,Low,8.1,No,3.75,5,5.6,No,5,6.3,Co-Learning Group,No,High,6,4,10,Reading,6.7,91,Increase daily study time. Reduce social media usage. Work on motivation. Manage exam anxiety.,83.15
100042,28,Other,Arts,5.9,0.7,3.6,Yes,50.5,6.9,Poor,6,PhD,Medium,7.3,Yes,4.0,3,6.0,No,3,10.9,Library,No,Medium,9,9,6,Reading,9.2,100,Too much time on Netflix. Improve attendance.,95.29
100043,28,Female,Arts,4.0,3.4,2.7,Yes,45.4,4.4,Fair,5,Bachelor,Low,8.5,No,4.0,6,5.4,No,2,10.9,Dorm,Yes,High,2,8,7,Kinesthetic,4.3,96,Improve sleep hygiene. Reduce social media usage. Too much time on Netflix. Improve attendance.,89.49
100044,17,Other,Psychology,7.4,4.5,1.2,Yes,42.7,8.7,Poor,2,Master,High,6.1,No,4.0,8,4.4,No,5,13.9,Library,Yes,Low,2,4,10,Kinesthetic,9.0,100,Reduce social media usage. Improve attendance. Work on motivation. Manage exam anxiety.,93.14
100045,27,Other,Biology,0.5,1.4,2.8,Yes,97.0,5.9,Good,7,High School,Medium,8.8,No,3.42,7,4.9,No,1,5.1,Dorm,Yes,High,6,9,6,Visual,9.1,78,Increase daily study time. Improve sleep hygiene. Too much time on Netflix.,87.05
100046,17,Female,Computer Science,8.205205575142877,4.1,2.2,Yes,59.7,5.2,Poor,3,PhD,Low,9.0,Yes,4.0,4,4.9,No,0,15.7,Co-Learning Group,No,Low,5,3,10,Reading,9.9,99,Improve sleep hygiene. Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,90.95
100047,26,Male,Psychology,4.3,3.7,2.1,No,66.9,7.6,Fair,7,PhD,Low,4.8,Yes,4.0,1,7.2,No,5,11.6,Co-Learning Group,No,Low,8,9,6,Visual,3.0,100,Reduce social media usage. Too much time on Netflix. Improve attendance.,93.3
100048,24,Female,Engineering,3.1,4.5,0.3,Yes,43.9,6.8,Fair,2,PhD,Medium,8.8,No,3.59,1,5.2,No,4,8.1,Co-Learning Group,No,High,6,7,8,Reading,10.0,84,Reduce social media usage. Improve attendance. Manage exam anxiety.,88.9
100049,22,Male,Arts,0.8,2.0,2.9,Yes,79.9,6.1,Fair,5,Some College,Low,4.4,No,3.18,2,4.4,No,5,6.3,Quiet Room,No,High,8,2,10,Visual,1.8,84,Increase daily study time. Too much time on Netflix. Work on motivation. Manage exam anxiety.,80.33
100050,27,Female,Psychology,7.3,2.1,3.7,No,76.0,8.4,Fair,4,PhD,Medium,7.0,Yes,3.52,1,8.1,Yes,4,13.2,Library,No,High,4,3,10,Visual,6.9,79,Too much time on Netflix. Work on motivation. Manage exam anxiety.,92.03
100051,21,Male,Business,5.3,1.5,1.4,No,74.0,5.6,Fair,2,Some College,Low,6.5,Yes,3.24,4,7.3,No,2,8.2,Library,No,High,1,2,10,Kinesthetic,7.7,88,Improve sleep hygiene. Work on motivation. Manage exam anxiety.,86.4
100052,18,Female,Business,4.0,0.4,1.8,Yes,64.9,6.5,Fair,7,PhD,Low,5.3,Yes,4.0,6,6.3,No,2,7.0,Co-Learning Group,Yes,Low,6,7,8,Kinesthetic,2.0,98,Improve attendance. Manage exam anxiety.,89.98
100053,16,Male,Engineering,4.4,1.4,0.5,Yes,50.5,6.7,Fair,6,Some College,Low,7.4,Yes,3.13,1,2.1,No,0,7.3,Quiet Room,No,High,9,6,9,Kinesthetic,1.6,70,Improve attendance. Manage exam anxiety.,89.48
100054,21,Other,Engineering,5.8,4.0,2.5,No,45.3,5.8,Good,5,Some College,Medium,9.5,No,4.0,7,4.0,No,1,14.0,Cafe,Yes,Medium,10,7,8,Reading,5.7,100,Improve sleep hygiene. Reduce social media usage. Too much time on Netflix. Improve attendance. Manage exam anxiety.,91.89
100055,21,Male,Computer Science,7.447689835997439,0.5,1.0,Yes,85.6,7.0,Good,2,Some College,High,5.5,No,4.0,2,7.7,No,4,9.3,Co-Learning Group,No,High,8,8,7,Kinesthetic,7.8,98,Keep up the good work!,96.4
100056,26,Other,Biology,1.2,4.0,2.4,No,58.6,7.5,Fair,1,High School,Low,9.6,Yes,3.09,6,7.2,No,4,8.3,Quiet Room,No,Medium,5,2,10,Kinesthetic,6.8,79,Increase daily study time. Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,81.89
100057,28,Other,Computer Science,5.003501877270392,4.5,1.4,Yes,42.3,4.6,Good,2,Master,High,9.2,No,3.45,8,6.4,No,2,12.3,Dorm,No,High,9,10,5,Reading,2.4,88,Improve sleep hygiene. Reduce social media usage. Improve attendance.,93.17
100058,26,Other,Computer Science,4.523733655002461,3.3,3.6,Yes,44.9,6.2,Good,5,Bachelor,High,5.4,No,3.99,6,5.8,No,5,13.2,Quiet Room,Yes,Medium,7,3,10,Reading,6.4,96,Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,86.48
100059,28,Female,Psychology,2.2,1.7,3.1,No,49.3,6.6,Fair,2,High School,Medium,5.5,No,3.68,2,8.7,No,1,7.4,Dorm,Yes,High,9,9,6,Auditory,1.3,100,Too much time on Netflix. Improve attendance.,89.69
100060,18,Male,Arts,3.3,2.2,1.1,No,54.0,7.0,Fair,7,Master,Medium,3.4,Yes,4.0,3,5.4,No,4,8.1,Cafe,No,Low,6,10,5,Reading,9.9,97,Improve attendance.,92.79
100061,24,Female,Psychology,2.1,4.7,2.8,Yes,57.1,7.9,Good,1,Bachelor,High,9.0,No,4.0,4,4.0,No,2,10.6,Quiet Room,Yes,Medium,9,3,10,Auditory,8.5,100,Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,84.31
100062,16,Female,Computer Science,5.130825904749953,4.2,2.6,No,42.3,5.0,Good,2,Master,Low,8.6,Yes,2.98,7,6.0,No,1,13.5,Quiet Room,No,High,3,8,7,Visual,5.0,75,Improve sleep hygiene. Reduce social media usage. Too much time on Netflix. Improve attendance.,91.47
100063,18,Other,Arts,5.1,3.2,2.5,Yes,75.8,9.1,Poor,7,PhD,Medium,9.2,No,3.73,7,3.6,No,3,10.9,Quiet Room,Yes,High,4,3,10,Reading,3.6,96,Reduce social media usage. Too much time on Netflix. Work on motivation. Manage exam anxiety.,89.33
100064,18,Other,Arts,4.4,1.9,1.5,No,87.3,6.0,Fair,5,High School,Medium,3.8,Yes,4.0,2,6.0,No,1,9.3,Co-Learning Group,Yes,High,6,3,10,Reading,1.4,99,Work on motivation. Manage exam anxiety.,86.15
100065,28,Other,Engineering,4.4,1.5,0.2,Yes,58.9,6.6,Fair,0,Master,High,7.3,Yes,3.52,8,4.2,No,0,6.5,Library,Yes,High,8,5,10,Reading,1.3,83,Improve attendance. Manage exam anxiety.,88.29
100066,26,Female,Business,0.0,1.7,0.7,No,95.5,9.6,Good,5,High School,High,8.1,No,2.85,2,6.4,No,0,3.8,Library,No,High,7,2,10,Reading,4.9,76,Increase daily study time. Work on motivation. Manage exam anxiety.,81.81
100067,21,Other,Business,2.0,3.6,3.6,No,56.5,8.6,Good,6,High School,High,10.0,No,3.07,5,7.3,No,4,10.4,Library,Yes,Low,7,6,9,Visual,5.6,79,Reduce social media usage. Too much time on Netflix. Improve attendance. Manage exam anxiety.,87.51
100068,26,Female,Computer Science,3.2050948288547856,3.4,3.8,Yes,74.4,5.1,Good,1,Master,Medium,5.5,Yes,3.28,3,8.4,No,3,11.1,Quiet Room,No,Medium,5,4,10,Auditory,9.6,86,Improve sleep hygiene. Reduce social media usage. Too much time on Netflix. Work on motivation. Manage exam anxiety.,84.81
100069,24,Male,Business,6.0,0.6,3.4,No,99.8,8.7,Good,7,Bachelor,High,6.7,Yes,4.0,5,5.3,No,5,10.9,Dorm,No,High,6,2,10,Reading,5.9,97,Too much time on Netflix. Work on motivation. Manage exam anxiety.,89.63
100070,27,Other,Arts,4.4,2.5,1.4,No,88.2,5.1,Good,7,PhD,Low,6.6,Yes,4.0,3,4.4,No,4,9.4,Cafe,Yes,Low,2,5,10,Kinesthetic,4.6,96,Improve sleep hygiene. Manage exam anxiety.,87.28
100071,17,Male,Business,6.5,3.2,0.7,No,70.2,8.6,Good,6,High School,Low,8.7,No,3.65,2,1.0,No,4,12.3,Dorm,No,High,3,5,10,Auditory,2.5,85,Reduce social media usage. Manage exam anxiety.,92.62
100072,20,Male,Business,1.7,0.8,3.8,No,90.6,7.8,Good,5,High School,High,8.1,Yes,4.0,4,8.9,No,0,6.6,Library,No,Low,1,10,5,Kinesthetic,3.4,99,Increase daily study time. Too much time on Netflix.,91.1
100073,23,Other,Biology,2.2,3.4,0.6,No,52.2,9.3,Good,7,Bachelor,High,5.8,No,4.0,5,4.9,No,0,7.0,Library,Yes,High,6,6,9,Reading,9.8,100,Reduce social media usage. Improve attendance. Manage exam anxiety.,88.37
100074,21,Male,Engineering,5.4,1.9,2.5,No,88.8,5.9,Good,2,Bachelor,Low,3.5,No,4.0,2,4.5,No,3,10.3,Cafe,Yes,Low,3,8,7,Kinesthetic,10.0,100,Improve sleep hygiene. Too much time on Netflix.,92.75
100075,16,Male,Engineering,6.2,4.4,2.6,Yes,90.8,7.3,Fair,0,Bachelor,Low,5.6,Yes,3.86,8,7.9,No,1,14.1,Cafe,No,High,6,7,8,Visual,4.3,98,Reduce social media usage. Too much time on Netflix. Manage exam anxiety.,93.52
100076,21,Other,Business,3.6,4.9,1.6,No,73.5,5.6,Fair,5,Some College,High,6.3,No,3.17,2,4.1,No,5,11.7,Quiet Room,No,Low,10,9,6,Visual,4.6,77,Improve sleep hygiene. Reduce social media usage.,90.87
100077,21,Female,Biology,3.2,3.1,3.4,Yes,82.5,7.8,Fair,7,High School,High,7.1,Yes,4.0,8,6.8,No,5,10.9,Co-Learning Group,No,Medium,6,2,10,Reading,9.8,100,Reduce social media usage. Too much time on Netflix. Work on motivation. Manage exam anxiety.,85.03
100078,27,Other,Computer Science,2.8211828352491244,3.9,1.5,No,41.9,6.5,Good,3,High School,High,8.8,Yes,4.0,8,4.0,No,3,9.9,Library,Yes,Low,1,8,7,Kinesthetic,3.8,100,Reduce social media usage. Improve attendance.,89.31
100079,24,Other,Engineering,2.1,4.8,1.8,Yes,80.6,9.2,Good,5,Bachelor,High,3.9,Yes,2.76,1,4.1,No,2,9.8,Dorm,No,High,8,4,10,Reading,9.6,70,Reduce social media usage. Work on motivation. Manage exam anxiety.,86.14
100080,28,Female,Arts,0.0,3.6,1.2,No,93.7,7.6,Fair,6,Bachelor,Medium,8.7,No,4.0,4,5.8,No,5,5.9,Quiet Room,No,Low,5,1,10,Reading,3.6,96,Increase daily study time. Reduce social media usage. Work on motivation. Manage exam anxiety.,79.4
100081,20,Other,Engineering,6.5,1.2,0.2,Yes,78.3,4.0,Poor,3,Master,Low,6.9,No,4.0,4,3.6,No,1,9.7,Library,No,Medium,8,2,10,Visual,7.1,100,Improve sleep hygiene. Work on motivation. Manage exam anxiety.,86.92
100082,22,Other,Engineering,1.3,0.4,2.3,Yes,94.8,7.9,Fair,0,Some College,Medium,7.5,No,2.47,8,1.8,No,4,5.1,Dorm,No,Low,7,8,7,Visual,2.7,53,Increase daily study time. Too much time on Netflix.,88.38
100083,25,Male,Business,2.7,0.6,0.6,No,83.1,8.5,Poor,4,Bachelor,High,5.0,No,3.82,5,2.6,No,0,4.8,Cafe,Yes,Medium,10,4,10,Kinesthetic,2.6,96,Work on motivation. Manage exam anxiety.,86.51
100084,22,Other,Computer Science,6.9467355218064535,1.3,1.3,Yes,55.7,7.2,Fair,0,Some College,Low,5.2,No,4.0,3,7.5,No,5,10.7,Cafe,No,Low,2,8,7,Reading,3.8,100,Improve attendance.,95.7
100085,20,Female,Biology,0.0,1.9,2.8,Yes,85.7,6.8,Good,3,PhD,Low,6.3,Yes,4.0,4,4.1,No,0,6.5,Dorm,No,Low,9,8,7,Visual,5.8,100,Increase daily study time. Too much time on Netflix.,85.77
100086,16,Other,Biology,1.2,3.6,2.0,Yes,88.5,8.8,Fair,7,PhD,High,2.9,Yes,4.0,4,4.3,No,3,8.6,Cafe,No,Medium,8,10,5,Reading,1.5,100,Increase daily study time. Reduce social media usage.,90.94
100087,20,Male,Arts,3.2,0.3,3.6,Yes,41.9,6.4,Fair,7,Some College,Medium,7.0,Yes,4.0,4,6.6,No,3,9.1,Cafe,No,High,7,6,9,Kinesthetic,9.9,94,Too much time on Netflix. Improve attendance. Manage exam anxiety.,87.83
100088,22,Male,Arts,3.2,4.9,3.3,No,67.8,6.9,Good,4,Master,High,6.0,Yes,2.92,3,6.3,No,5,12.9,Dorm,Yes,High,7,4,10,Auditory,3.2,75,Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,85.88
100089,28,Male,Computer Science,5.497784896731553,3.5,0.2,Yes,66.3,6.7,Good,6,High School,Low,7.1,Yes,4.0,7,5.3,No,5,10.7,Co-Learning Group,Yes,Low,9,5,10,Reading,3.1,100,Reduce social media usage. Improve attendance. Manage exam anxiety.,89.85
100090,21,Male,Business,8.5,4.4,3.6,Yes,73.4,5.9,Poor,6,Bachelor,Medium,2.8,No,3.58,3,7.1,No,3,17.8,Cafe,No,High,7,9,6,Kinesthetic,3.9,94,Improve sleep hygiene. Reduce social media usage. Too much time on Netflix.,97.94
100091,18,Other,Engineering,6.2,4.8,2.2,Yes,55.3,6.9,Fair,3,High School,Medium,6.4,No,3.46,4,4.7,No,5,13.5,Library,Yes,Medium,6,2,10,Visual,5.8,83,Reduce social media usage. Too much time on Netflix. Improve attendance. Work on motivation. Manage exam anxiety.,88.38
100092,25,Other,Computer Science,6.657019760526673,0.1,3.7,Yes,84.8,8.4,Good,1,Some College,Low,8.8,Yes,4.0,2,1.5,No,3,12.4,Library,No,High,10,4,10,Reading,4.6,97,Too much time on Netflix. Work on motivation. Manage exam anxiety.,92.04
100093,23,Other,Arts,5.7,4.0,2.9,No,94.9,7.7,Fair,5,Master,High,8.4,No,4.0,6,4.9,No,4,14.1,Quiet Room,No,Low,10,4,10,Reading,7.7,96,Reduce social media usage. Too much time on Netflix. Work on motivation. Manage exam anxiety.,90.1
100094,25,Other,Engineering,1.2,2.5,2.6,Yes,85.8,4.8,Fair,4,Master,Low,8.7,Yes,2.65,5,6.7,No,4,7.7,Co-Learning Group,No,Medium,3,6,9,Kinesthetic,2.5,73,Increase daily study time. Improve sleep hygiene. Too much time on Netflix. Manage exam anxiety.,83.67
100095,26,Male,Biology,5.8,0.3,0.6,Yes,62.4,8.7,Good,7,PhD,Medium,7.6,Yes,3.15,1,3.0,No,4,7.1,Co-Learning Group,Yes,Medium,8,1,10,Kinesthetic,1.1,84,Improve attendance. Work on motivation. Manage exam anxiety.,88.34
100096,27,Female,Biology,6.1,1.2,2.5,Yes,56.0,5.8,Fair,5,Bachelor,Low,10.0,No,4.0,5,4.5,No,0,10.3,Library,Yes,Medium,8,10,5,Reading,3.2,97,Improve sleep hygiene. Too much time on Netflix. Improve attendance.,95.74
100097,26,Other,Computer Science,2.4028451500191057,0.4,3.4,No,74.0,4.4,Good,5,High School,High,3.9,No,2.85,2,6.1,No,0,7.5,Co-Learning Group,No,High,1,4,10,Kinesthetic,2.9,72,Improve sleep hygiene. Too much time on Netflix. Work on motivation. Manage exam anxiety.,83.18
100098,26,Female,Biology,1.1,3.6,1.6,Yes,73.8,7.3,Good,2,Master,Low,3.5,No,3.69,1,3.7,No,2,6.5,Library,Yes,High,9,6,9,Visual,4.5,88,Increase daily study time. Reduce social media usage. Manage exam anxiety.,85.3
100099,16,Male,Engineering,5.6,5.0,2.0,Yes,65.9,7.9,Good,6,Master,Medium,6.1,No,3.66,4,3.2,No,3,13.3,Quiet Room,No,Low,10,5,10,Visual,8.2,92,Reduce social media usage. Improve attendance. Manage exam anxiety.,90.9
100100,27,Other,Psychology,5.7,1.8,1.1,No,65.9,7.4,Good,2,PhD,Low,7.0,No,4.0,7,4.5,No,2,8.9,Co-Learning Group,Yes,Medium,2,1,10,Visual,1.8,100,Improve attendance. Work on motivation. Manage exam anxiety.,87.23
